Customer_ID,Age,Annual_Income,Num_of_Loan,Num_of_Delayed_Payment,Changed_Credit_Limit,Outstanding_Debt,Amount_invested_monthly,Monthly_Balance,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Num_Credit_Inquiries,Credit_Utilization_Ratio,Total_EMI_per_month,Credit_History_Age_Months,Occupation,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour,Credit_Score,_target_agreement,has_auto_loan,has_credit_builder_loan,has_debt_consolidation_loan,has_home_equity_loan,has_mortgage_loan,has_not_specified,has_payday_loan,has_personal_loan,has_student_loan,n_loan_types,Credit_Utilization_Ratio_std,Delay_from_due_date_max,Num_Credit_Inquiries_max,debt_to_income,debt_service_ratio
CUS_0x1000,17.0,30625.94,2.0,25.0,1.63,1562.91,145.46748362372108,340.08053353377306,2706.1616666666664,6.0,5.0,27.0,62.0,11.0,32.58679470951385,42.941090422469365,125.5,Lawyer,Bad,Yes,High_spent_Medium_value_payments,Poor,0.875,0,1,0,1,0,0,0,0,0,2,4.859295676968244,67.0,11.0,0.051032229541362654,0.015867895459240007
CUS_0x1009,26.0,52312.68,4.0,18.0,9.73,202.68,152.96849388402683,417.8696409917354,4250.39,6.0,5.0,17.0,8.0,3.0,29.416506504040147,108.36646712525564,369.0,Mechanic,Standard,Yes,High_spent_Medium_value_payments,Standard,1.0,0,1,0,1,0,1,1,0,0,4,5.37493529386291,10.0,4.0,0.0038743952708979925,0.02549565266369807
CUS_0x100b,18.5,113781.38999999998,0.0,7.0,11.34,1030.2,520.5412358312244,824.3557245437784,9549.7825,1.0,4.0,1.0,14.0,1.0,33.99165875373812,0.0,187.0,Media_Manager,Good,No,High_spent_Large_value_payments,Poor,0.625,0,0,0,0,0,0,0,0,0,0,5.524920979418748,19.0,4.0,0.009054204734183684,0.0
CUS_0x1011,44.0,58918.47,3.0,15.0,14.42,473.14,383.35084463651407,263.6779752580599,5208.8725,3.0,3.0,17.0,27.0,7.0,27.939861217482225,123.43493879634316,186.5,Doctor,Standard,Yes,Low_spent_Medium_value_payments,Standard,1.0,0,1,1,0,0,0,0,0,1,3,1.2951676259862555,29.0,7.0,0.00803041898406391,0.023697055129750854
CUS_0x1013,44.0,98620.98,3.0,9.0,1.33,1233.51,320.0888130977693,513.1346032494969,7962.415000000001,3.0,3.0,6.0,12.0,3.0,30.585673200388165,228.018083652734,210.0,Mechanic,Good,No,High_spent_Medium_value_payments,Standard,1.0,0,0,1,0,0,0,0,1,1,3,6.528207387710032,16.0,3.0,0.012507582058097577,0.028636799721282295
CUS_0x1015,27.0,46951.02,0.0,9.0,15.83,340.22,264.36443022130914,397.5606221143995,3725.585,7.0,4.0,16.0,8.0,9.0,36.94084130398093,0.0,254.0,Journalist,Standard,Yes,Low_spent_Medium_value_payments,Good,0.625,0,0,0,0,0,0,0,0,0,0,4.698708937876436,9.0,9.0,0.007246274947807311,0.0
CUS_0x1018,15.0,61194.81,8.0,22.0,28.63,2773.09,200.29465385973404,355.79340476381844,5014.5675,7.0,7.0,23.0,24.0,8.0,27.03218507498854,225.3686913764476,167.5,Accountant,Bad,Yes,High_spent_Medium_value_payments,Poor,1.0,0,1,0,1,0,1,1,1,1,6,4.073062075532911,24.0,8.0,0.04531577105966993,0.04494279743496275
CUS_0x1026,51.5,170614.28,2.0,2.0,0.73,849.69,418.14302266816134,1155.5620830332405,14463.856666666668,2.0,6.0,9.0,0.0,3.0,36.368783062227976,208.90747938201577,245.0,Manager,Good,No,High_spent_Medium_value_payments,Standard,1.0,1,0,0,0,0,0,1,0,0,2,5.8438030356442585,0.0,3.0,0.00498018102587896,0.01444341465741035
CUS_0x102d,30.0,89064.52,1.0,5.0,6.37,648.36,408.2048568663844,559.8267258861548,7256.043333333334,5.0,3.0,1.0,6.0,3.0,31.894044163455774,37.57275058079424,359.0,Entrepreneur,Good,No,Low_spent_Medium_value_payments,Good,1.0,0,0,0,0,1,0,0,0,0,1,5.9563584970215615,6.0,3.0,0.007279666471003268,0.005178132055550142
CUS_0x102e,26.0,50807.44,4.0,10.0,2.6,869.59,121.13557079974763,470.06729277798047,4197.953333333334,8.0,4.0,11.0,12.0,4.0,32.85656253352702,88.75991924748364,271.0,Scientist,Standard,Yes,High_spent_Medium_value_payments,Standard,0.875,0,0,0,1,1,1,0,0,0,3,4.02328311633974,15.0,4.0,0.0171154067199607,0.021143617424876162
CUS_0x1032,40.0,60410.94,4.0,9.0,7.65,1852.86,184.71217772525404,477.7859348920829,5274.245,4.0,7.0,17.0,23.0,9.0,29.570298756404128,149.9263873826631,192.0,Lawyer,Standard,Yes,Low_spent_Small_value_payments,Standard,1.0,0,0,0,1,0,1,1,0,1,4,5.0559808206309755,28.0,9.0,0.030670934767775503,0.02842613253321814
CUS_0x1037,44.0,15989.085,4.0,15.0,0.5,665.82,83.46389765087557,281.3814567192434,1086.42375,5.0,4.0,2.0,13.0,3.0,34.83219356355296,33.797020629881075,233.5,Accountant,Good,No,Low_spent_Small_value_payments,Good,1.0,1,1,0,0,1,0,0,0,0,3,5.83454678121221,13.0,3.0,0.04164215775949656,0.031108506814105524
CUS_0x1038,27.0,129473.16,3.0,13.0,8.61,568.21,447.24445995494773,664.516928837112,10959.43,3.0,4.0,10.0,25.0,10.0,35.46145248019434,255.32790499097848,236.5,Architect,Standard,Yes,High_spent_Medium_value_payments,Standard,0.5,0,0,0,1,0,0,1,0,0,2,4.769805295645193,28.0,10.0,0.00438863158974416,0.023297553339085928
CUS_0x103e,40.0,98690.8,1.0,17.0,10.76,706.96,418.16974281621754,640.7783330900716,8262.233333333334,4.0,6.0,9.0,6.0,4.0,35.122618877130634,55.004407569291885,319.0,Scientist,Good,No,Low_spent_Small_value_payments,Poor,0.625,0,0,0,0,0,0,0,0,1,1,5.4333446261763685,8.0,4.0,0.007163383010371787,0.006657329241402674
CUS_0x1041,15.0,8978.11,9.0,17.0,18.48,4913.15,37.88804854396876,257.2641442276733,894.1758333333332,8.0,8.0,30.0,50.0,10.0,33.03191942495755,57.67965790681974,121.0,Teacher,Bad,Yes,High_spent_Medium_value_payments,Standard,1.0,0,0,0,1,1,1,1,0,1,5,3.8897743391614745,50.0,10.0,0.5472365564690118,0.06450594587397865
CUS_0x1044,44.0,33441.59,0.0,4.0,9.58,154.96,163.74197577772878,376.1379408889379,2748.799166666666,2.0,4.0,1.0,1.0,5.0,30.00450763499463,0.0,379.5,Entrepreneur,Good,No,High_spent_Medium_value_payments,Standard,1.0,0,0,0,0,0,0,0,0,0,0,5.5038668265181165,5.0,5.0,0.004633750966984525,0.0
CUS_0x1048,27.0,42387.54,7.0,8.0,14.34,1835.67,135.05307147371454,256.55863768501433,3680.295,3.0,7.0,26.0,9.0,7.0,30.269357849270193,225.883368970478,117.0,Accountant,Standard,Yes,High_spent_Medium_value_payments,Poor,0.75,0,0,1,1,0,1,1,1,0,5,4.073795881904702,11.0,7.0,0.04330683026191187,0.06137643014227881
CUS_0x104a,37.0,14981.39,4.0,6.0,0.63,1122.46,64.06098782412346,312.1313728625005,1461.4491666666663,2.0,7.0,5.0,2.0,4.0,35.14817957469778,38.11596751942855,383.5,Mechanic,Good,No,High_spent_Medium_value_payments,Standard,1.0,1,0,0,0,1,1,1,0,0,4,5.90081774126,5.0,4.0,0.07492362190691251,0.026080939651404383
CUS_0x104e,50.0,19180.87,4.0,17.0,9.32,1127.57,84.48084188433498,301.6234318124418,1688.405833333333,8.0,4.0,18.0,5.0,6.0,30.73213380154374,57.364211009602386,298.5,Teacher,Standard,No,Low_spent_Small_value_payments,Standard,1.0,1,0,1,0,0,0,1,0,0,3,5.07262250874189,9.0,6.0,0.05878617601808468,0.0339753688817523
CUS_0x104f,20.0,11336.835,6.0,19.0,16.44,177.98,50.69520219243509,289.63507237550925,992.73625,4.0,6.0,14.0,30.0,7.0,31.553134817147946,35.56273086250209,175.0,Architect,Standard,Yes,Low_spent_Small_value_payments,Standard,1.0,1,0,0,0,0,0,1,1,1,4,4.742804211777047,30.0,7.0,0.015699267035288067,0.03582293974104612
CUS_0x1051,41.0,35022.22,1.0,11.0,1.36,1000.44,241.78968024449813,367.64065548856115,2859.518333333333,3.0,5.0,4.0,6.0,5.0,32.43483309314849,21.21457645232058,338.5,Engineer,Good,No,High_spent_Large_value_payments,Good,0.625,0,0,0,0,0,0,0,0,1,1,4.751111723242348,8.0,5.0,0.028565864756717307,0.0074189335333237055
CUS_0x1056,44.0,16053.86,5.0,16.0,0.83,2107.76,86.00719938496633,258.8146767383343,1196.8216666666667,8.0,6.0,24.0,24.0,8.0,36.83492299094779,44.86029054336601,191.0,Entrepreneur,Bad,Yes,Low_spent_Small_value_payments,Poor,1.0,0,0,1,0,0,1,0,1,1,4,5.337723218986744,29.0,12.0,0.13129303482153204,0.037482852953614094
CUS_0x1057,46.0,86617.16,3.0,20.0,10.26,718.53,385.56373439092715,636.422471527819,7250.096666666667,8.0,4.0,6.0,16.0,4.0,33.712218593079264,141.3820546343075,295.5,Writer,Standard,No,High_spent_Large_value_payments,Standard,0.75,1,0,0,0,0,0,1,0,1,3,4.538782615105574,21.0,4.0,0.008295469396595315,0.019500713043500685
CUS_0x105b,24.0,34428.21,0.0,12.0,8.51,180.7,92.9846173088151,434.5171326911849,2575.0175,2.0,4.0,8.0,3.0,0.0,37.77855460372024,0.0,327.0,Accountant,Good,No,High_spent_Medium_value_payments,Good,0.875,0,0,0,0,0,0,0,0,0,0,5.541985255235289,8.0,0.0,0.0052486028172826875,0.0
CUS_0x105c,54.0,127617.6,3.0,6.0,9.22,542.91,223.96924604565282,856.6570638205189,10596.8,0.0,4.0,5.0,6.0,0.0,31.924437214149037,211.05460599751723,289.0,Journalist,Good,No,High_spent_Medium_value_payments,Standard,0.625,0,0,0,0,1,1,1,0,0,3,6.6218177525788935,6.0,0.0,0.0042541937789145065,0.019916824512826253
CUS_0x1063,20.0,128698.76,4.0,16.0,10.67,583.11,227.39330028737015,820.7161381987191,10628.896666666666,7.0,5.0,10.0,10.0,12.0,33.385322230771585,251.6127820563614,200.0,Architect,Standard,Yes,High_spent_Large_value_payments,Standard,1.0,0,0,1,0,1,0,1,1,0,4,5.743099846194709,11.0,12.0,0.004530812884288862,0.023672521235947798
CUS_0x1069,32.0,58637.34,3.0,17.0,12.56,208.8,136.55913511652776,412.07069235754636,4799.445,4.0,6.0,10.0,9.0,5.0,29.84502068832601,139.8850133927109,364.5,Accountant,Standard,Yes,High_spent_Medium_value_payments,Standard,1.0,1,0,0,0,0,1,0,1,0,3,5.32912869053795,9.0,5.0,0.0035608709399164427,0.02914608113911315
CUS_0x106f,54.0,134035.08,2.0,7.0,10.32,767.91,631.2087623944299,662.8498531320263,11102.589999999998,0.0,5.0,10.0,3.0,6.0,39.23672606073292,143.48373199958996,295.5,Developer,Good,No,High_spent_Medium_value_payments,Good,1.0,0,0,0,1,1,0,0,0,0,2,3.6323277312765616,6.0,8.0,0.005729171795920889,0.012923446871368751
