Customer_ID,Age,Annual_Income,Num_of_Loan,Num_of_Delayed_Payment,Changed_Credit_Limit,Outstanding_Debt,Amount_invested_monthly,Monthly_Balance,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Num_Credit_Inquiries,Credit_Utilization_Ratio,Total_EMI_per_month,Credit_History_Age_Months,Occupation,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour,_target_agreement,has_auto_loan,has_credit_builder_loan,has_debt_consolidation_loan,has_home_equity_loan,has_mortgage_loan,has_not_specified,has_payday_loan,has_personal_loan,has_student_loan,n_loan_types,Credit_Utilization_Ratio_std,Delay_from_due_date_max,Num_Credit_Inquiries_max,debt_to_income,debt_service_ratio,Credit_Score
CUS_0x81d,27.0,43452.15,5.0,9.0,10.4,859.42,124.77549703087669,356.3656163969406,3864.0125,3.0,6.0,7.0,30.0,6.0,30.565314662517473,155.26013657218263,119.5,Scientist,Standard,Yes,High_spent_Large_value_payments,1.0,0,1,0,0,0,1,1,0,1,4,3.9568742937364183,32.0,11.0,0.019778538000996496,0.040181064779729006,Standard
CUS_0xa2f0,23.0,22428.96,1.0,14.0,1.29,1299.61,93.8687826029477,378.5895441699114,2065.08,7.0,3.0,16.0,10.0,0.0,33.1149954824994,15.329064693223396,287.5,Manager,Standard,No,Low_spent_Small_value_payments,0.75,0,0,0,0,0,1,0,0,0,1,6.1203699334506005,12.0,0.0,0.057943391044435404,0.007422988307098706,Standard
CUS_0xb0f6,32.0,69026.56,7.0,14.0,8.13,365.38,240.56980966801973,327.2340030575991,5970.213333333332,3.0,4.0,7.0,7.0,9.0,31.340953362715958,289.2175206077145,216.0,Doctor,Standard,Yes,Low_spent_Large_value_payments,1.0,0,0,1,1,1,1,0,1,0,5,5.446826376540067,9.0,9.0,0.005293324772377473,0.048443414742473954,Standard
CUS_0x1900,26.0,8137.625,8.0,21.0,17.53,3938.7,44.93290862079877,252.71554260583275,680.1354166666666,8.0,6.0,34.0,35.0,6.0,26.635818233066384,53.34367125123679,25.0,Accountant,Bad,Yes,Low_spent_Small_value_payments,0.875,0,0,1,1,1,1,0,1,0,5,6.890106114565456,35.0,6.0,0.48401099829495703,0.07843095645963169,Poor
CUS_0x39c0,30.0,62546.8,2.0,18.0,7.63,1146.47,261.49985765435315,431.82454905468,4951.233333333334,5.0,6.0,8.0,7.0,4.0,29.583767394107443,69.72084239010081,227.5,Accountant,Good,No,High_spent_Medium_value_payments,1.0,0,1,0,0,0,0,0,0,1,2,2.3579501966890457,11.0,4.0,0.018329794649766255,0.01408151014025478,Poor
CUS_0x824c,21.5,91610.4,1.0,20.0,3.99,1091.09,171.87555053847282,749.7751055353187,7499.2,7.0,6.0,5.0,5.0,1.0,36.21266528214132,45.90714242731781,262.5,Engineer,Standard,No,High_spent_Large_value_payments,0.75,0,0,0,0,0,0,0,1,0,1,4.910322918249336,6.0,1.0,0.011910110642459807,0.006121605294873828,Standard
CUS_0xc07c,19.0,76887.92,2.0,19.0,3.64,2485.99,119.46950286481412,654.5401607719148,6445.326666666668,8.0,7.0,25.0,24.0,8.0,36.96188348722152,78.62692676686831,109.5,Mechanic,Bad,Yes,High_spent_Large_value_payments,0.75,0,0,0,0,0,0,1,0,0,1,5.402606246685089,24.0,8.0,0.03233264731312799,0.012199060006299391,Poor
CUS_0x840b,30.0,9623.005,5.0,15.0,5.13,1693.0,72.44429648252927,283.33155730857413,960.9170833333332,7.0,9.0,28.0,52.0,11.0,31.332314008212734,26.240813349400305,215.0,Scientist,Bad,Yes,Low_spent_Small_value_payments,0.875,0,1,1,1,0,0,1,0,1,5,5.042257422889849,55.0,11.0,0.17593256991968725,0.027308093283525913,Poor
CUS_0x3b83,41.0,56213.84,5.0,19.0,8.77,3626.94,248.3669913038333,437.7743674457797,4955.486666666667,6.0,7.0,26.0,58.0,14.0,27.908310711092124,120.15943330681644,53.0,Entrepreneur,Bad,Yes,Low_spent_Large_value_payments,1.0,1,1,0,1,1,0,0,0,0,4,2.010262428420064,58.0,14.0,0.06452040992040395,0.024247756353593882,Poor
CUS_0x619d,43.0,32119.36,7.0,16.0,19.22,999.25,109.28901087342733,303.18852014412886,2688.6133333333332,3.0,5.0,12.0,22.0,4.0,35.007200205910735,109.34465153743989,126.0,Doctor,Standard,Yes,High_spent_Medium_value_payments,0.75,1,1,0,0,1,1,1,0,0,5,4.547901401752159,26.0,4.0,0.03111052025943232,0.04066953406121615,Standard
