,Poor,Standard,Good,media
Credit_Mix_Good,0.03905351615712745,0.11343790817560356,0.14132492174644523,0.0979387820263921
Outstanding_Debt,0.08248640370549556,0.062093441152101525,0.024142673888425684,0.056240839582007596
Interest_Rate,0.058193505230465174,0.046001414719244,0.015309471372846875,0.03983479710751868
Payment_of_Min_Amount_Yes,0.030026174455011687,0.02900269817638107,0.049142886359096125,0.036057252996829624
Credit_Mix_Standard,0.022547872473669225,0.04906145408335961,0.026696855903589074,0.03276872748687264
Payment_of_Min_Amount_No,0.028575367053676262,0.025039769595903812,0.04359042471789251,0.03240185378915753
Delay_from_due_date,0.043135780426268984,0.011053071235077738,0.03219626143722847,0.028795037699525062
Num_Credit_Card,0.014326629626368189,0.012114932067731673,0.024387818916042723,0.016943126870047526
Changed_Credit_Limit,0.023343516721924033,0.022648168344444372,0.004134951609773244,0.016708878892047214
Credit_History_Age_Months,0.01733395297498845,0.014676178141914636,0.006088734834671103,0.012699621983858064
debt_to_income,0.01776455833834019,0.015557753868723743,0.004531138951643907,0.012617817052902611
Delay_from_due_date_max,0.017214684543426242,0.0060374577400956145,0.012109135353473514,0.011787092545665123
Num_Credit_Inquiries,0.01692752889631993,0.014152980743263495,0.0033807659348782017,0.011487091858153874
Num_of_Delayed_Payment,0.010269592213682645,0.003856889694356338,0.011780167808246698,0.00863554990542856
debt_service_ratio,0.007515452189516031,0.008888615434389907,0.0068888245827201655,0.007764297402208701
Num_Credit_Inquiries_max,0.009536675158883116,0.006198153444113909,0.0038168910756353723,0.006517239892877467
Credit_Mix_Bad,0.009111587649193273,0.0068079419315561236,0.0023379332086943183,0.006085820929814571
Num_Bank_Accounts,0.007308539770440713,0.0032272121862499687,0.007605103064264923,0.006046951673651868
Total_EMI_per_month,0.002745721904923681,0.0036454846393521663,0.003580051897970832,0.0033237528140822267
Monthly_Balance,0.0035596073894626277,0.002726705648561906,0.0034023026241510523,0.0032295385540585288
Annual_Income,0.0030983916203104122,0.0034963525959431033,0.0025309969916017055,0.0030419137359517403
Monthly_Inhand_Salary,0.002268169996791561,0.0032028038965459175,0.003537800191679377,0.0030029246950056183
Num_of_Loan,0.0038406458013565646,0.0036335320264302973,0.0009710260912710925,0.0028150679730193184
Amount_invested_monthly,0.00258590581184682,0.0031427396211349866,0.002355414175269112,0.0026946865360836397
Credit_Utilization_Ratio,0.0019600195574236766,0.0027407426378411683,0.0025139355052017417,0.002404899233488862
Age,0.001575219731272551,0.0023455686357867728,0.002308850897465736,0.0020765464215083533
Credit_Utilization_Ratio_std,0.0019569742416939164,0.0021481750120253503,0.0016888786202606876,0.001931342624659985
has_student_loan,0.0007392199200811977,0.001748120825816708,0.001223482054589812,0.001236940933495906
n_loan_types,0.0007552913586350642,0.0009625469960180238,0.0008054801435358885,0.0008411061660629921
Occupation_Developer,0.00028725124396501836,0.0006995241143711181,0.0008123774938990653,0.0005997176174117339
has_auto_loan,0.0006236292258845402,0.0006964928389888075,0.00020146830024755062,0.0005071967883736328
has_payday_loan,0.00037570539052926566,0.0005365930336677474,0.0006084841786162463,0.0005069275342710865
has_not_specified,0.0004307058594834932,0.0006160196846670085,0.00043929992176488543,0.0004953418219717957
has_personal_loan,0.00047258147572017036,0.0004018027722388994,0.0005622367284747921,0.00047887365881128726
Occupation_Lawyer,0.00039167573652747163,0.0005823639515389481,0.00031494096245528294,0.00042966021684056753
Payment_Behaviour_Low_spent_Medium_value_payments,0.00017611802027410822,0.000470314922709028,0.0004213764559322378,0.0003559364663051247
has_credit_builder_loan,0.00027437078855596333,0.00042707790541629293,0.0003322193655809812,0.00034455601985107915
has_debt_consolidation_loan,0.0002801075875359636,0.0003188574927323279,0.00038133513471206746,0.0003267667383267863
has_home_equity_loan,0.00033544320607122816,0.0003949595192099641,0.0002455976299181689,0.0003253334517331204
Occupation_Scientist,0.00032276551604081786,0.0002755068077924602,0.0002977876404725865,0.00029868665476862153
Payment_Behaviour_Low_spent_Large_value_payments,0.00015862448285579786,0.00039700942025168684,0.00032341912261943894,0.0002930176752423079
Payment_Behaviour_High_spent_Medium_value_payments,0.0002964513361257751,0.0003451020386312917,0.00022952132126041836,0.00029035823200582834
Payment_Behaviour_Low_spent_Small_value_payments,0.00030820585983778803,0.00028271084199238714,0.0002784779097187736,0.0002897982038496496
has_mortgage_loan,0.00023938436854388688,0.00038616654631939,0.00024327675424607836,0.0002896092230364518
Occupation_Entrepreneur,0.00019617360931569293,0.00036923511894662066,0.0002889542787108518,0.00028478766899105515
Occupation_Writer,0.00020786990277650458,0.0003045520970931329,0.00028571086885507307,0.0002660442895749035
Occupation_Teacher,0.00026338198675982894,0.0003371921947417662,0.00018847802231591998,0.00026301740127250507
Occupation_Accountant,0.0002520966232523393,0.00032898502135613226,0.00017825900551422658,0.0002531135500408994
Payment_Behaviour_High_spent_Small_value_payments,0.0002492570612725356,0.00031258943770688387,0.00018963145680116843,0.00025049265192686265
Occupation_Journalist,0.0001533229821525557,0.0002684264710234148,0.0003029527352435269,0.00024156739613983248
Occupation_Engineer,0.00023926729385686865,0.0002648304678863835,0.00016907398287082523,0.0002243905815380258
Occupation_Doctor,0.00018473134151371446,0.0002919602891595163,0.0001907730795109348,0.0002224882367280552
Occupation_Musician,0.00023657883392464037,0.0002444691240153033,0.00015462673811414673,0.00021189156535136346
Payment_Behaviour_High_spent_Large_value_payments,0.00019822756776049298,0.00023843681470900191,0.00016450210064546106,0.00020038882770498533
Occupation_Mechanic,0.0002067172588263641,0.00020772205780259374,0.00015905886382378568,0.0001911660601509145
Occupation_Manager,0.0001388071191377889,0.00019756575840486478,0.00019597941508564404,0.00017745076420943258
Occupation_Architect,0.0001754689504218521,0.00020587257854897168,0.00014677240789971163,0.00017603797895684515
Occupation_Media_Manager,0.00017001070352106067,0.00021429155940900767,0.00012491469719578884,0.00016973898670861903
